Date,Close/Last,Volume,Open,High,Low
04/14/2020,2843,1643171,2760,2846,2752.5
04/13/2020,2759.25,1535205,2811,2819.5,2711
04/09/2020,2779.75,2295056,2737.75,2809.5,2701
04/08/2020,2735,1864489,2640.5,2752.5,2620.75
04/07/2020,2642,2437762,2645.5,2750,2623.5
04/06/2020,2644.5,1936026,2485,2668.5,2484.75
04/03/2020,2482.75,1703883,2513.75,2529.5,2449
04/02/2020,2516.5,2084121,2459,2525,2424.75
04/01/2020,2448,1987930,2562,2562.25,2434.25
03/31/2020,2569.75,2134111,2613.25,2635.75,2555.75
03/30/2020,2611.25,1775000,2459,2621.75,2445
03/27/2020,2524.1,2155067,2627.75,2634.5,2505.25
03/26/2020,2608,2333319,2471,2625.75,2402.25
03/25/2020,2467,2928987,2442.75,2560.75,2386
03/24/2020,2438,2508033,2233.25,2447.75,2230.5
03/23/2020,2220.5,2989541,2220.25,2386,2174
03/20/2020,2288.5,2921764,2351,2499,2260
03/19/2020,2389,3066260,2402.5,2460,2275
03/18/2020,2414,907729,2478.5,2498,2274.75
03/17/2020,2495.5,1636050,2417.25,2554.5,2365
03/16/2020,2416.25,2266107,2673.75,2675,2360.25
03/13/2020,2695.9,3295273,2429.5,2707.75,2393.5
03/12/2020,2469,4258128,2738,2774,2442.5
03/11/2020,2740.25,2844605,2859.5,2869.5,2702.75
03/10/2020,2865.75,3294171,2733,2884.75,2695.25
03/09/2020,2747.75,2522613,2916,2916,2715
03/06/2020,2964,3010973,3024.25,3037,2898
03/05/2020,3015.5,2662857,3089,3103.5,2996.5
03/04/2020,3114.75,2473431,2988.25,3129.5,2976.5
03/03/2020,2997,3635857,3077,3137,2973
03/02/2020,3065,3553236,2900,3093.25,2889.25
02/28/2020,2951.1,5499126,2950,2996,2853.25
02/27/2020,2957,4635720,3043.75,3096.25,2944.5
02/26/2020,3110.25,3808610,3109.75,3115,3098
02/25/2020,3132.5,4254278,3153.5,3157,3117.25
02/24/2020,3226.25,3513751,3227.25,3253.25,3213.75
02/21/2020,3339.3,2232061,3367,3369.25,3328
02/20/2020,3369.25,2047116,3391.75,3397.5,3339.25
02/19/2020,3387.25,1115664,3372,3393.75,3370.75
02/18/2020,3369.25,1689328,3378.25,3392.5,3355.25
02/14/2020,3380.9,1280590,3379.5,3388.5,3365.25
02/13/2020,3377.5,1738296,3381.25,3384.75,3348.5
02/12/2020,3380.5,1191736,3360.5,3381.5,3355.5
02/11/2020,3357.5,1452567,3351,3374.5,3349.25
02/10/2020,3353,1347160,3322.25,3353.5,3303.5
